time(s),x,y
8.5,1893,746
8.53,1876,749
8.57,1852,754
8.6,1828,758
8.63,1804,762
8.67,1780,766
8.7,1755,771
8.73,1731,775
8.77,1706,779
8.8,1680,784
8.83,1655,789
8.87,1629,793
8.9,1603,798
8.93,1577,803
8.97,1550,808
9.0,1524,812
9.03,1496,818
9.07,1469,823
9.1,1441,828
9.13,1414,833
9.17,1386,838
9.2,1358,844
9.23,1329,849
9.27,1301,855
9.3,1272,860
9.33,1243,866
9.37,1213,871
9.4,1183,878
9.43,1153,883
9.47,1123,889
9.5,1092,895
9.53,1061,902
9.57,1030,908
9.6,998,914
9.63,967,920
9.67,935,927
9.7,902,934
9.73,870,941
9.77,836,947
9.8,803,954
9.83,770,961
9.87,735,968
9.9,702,975
9.93,667,982
9.97,632,989
10.0,595,990
10.03,561,1003
10.07,525,1011
10.1,489,1019
10.13,452,1027
10.17,415,1034
10.2,378,1043
10.23,340,1051
10.27,307,1059
