time(s),x,y
8.7,514,727
8.73,541,733
8.77,568,737
8.8,595,742
8.83,623,747
8.87,649,752
8.9,677,757
8.93,704,762
8.97,733,767
9.0,760,772
9.03,789,777
9.07,818,782
9.1,846,787
9.13,875,793
9.17,904,798
9.2,933,805
9.23,961,810
9.27,993,814
9.3,1022,821
9.33,1052,827
9.37,1082,833
9.4,1112,839
9.43,1143,845
9.47,1174,851
9.5,1205,857
9.53,1236,864
9.57,1268,871
9.6,1299,877
9.63,1331,883
9.67,1363,890
9.7,1395,897
9.73,1428,904
9.77,1461,911
9.8,1494,918
9.83,1527,925
9.87,1561,932
9.9,1594,940
9.93,1629,947
9.97,1663,954
10.0,1697,963
10.03,1732,969
10.07,1768,977
10.1,1802,985
